Theta,RCS_dBsm
1.44,5.45108882772764
1.45,5.670362554180871
1.46,5.865734361989574
1.47,6.037824153520389
1.48,6.187276209542471
1.49,6.314736881249439
1.5,6.42084073268697
1.51,6.5062026470608
1.52,6.571414181514363
1.53,6.617043001297439
1.54,6.643634612177001
1.55,6.6517158872619735
1.56,6.6418000849173096
1.57,6.614393201687003
1.58,6.570001614255903
1.59,6.509141048111088
1.6,6.432346974178639
1.61,6.340186581315697
1.62,6.23327250196986
1.6300000000000001,6.112278477192535
1.6400000000000001,5.97795712854572
1.6500000000000001,5.831159947214928
1.6600000000000001,5.67285949913794
1.67,5.504173658629491
1.68,5.326391397062244
1.69,5.140999241062396
1.7,4.949706953386416
1.71,4.754470269756449
1.72,4.557507666704941
1.73,4.361307211298481
1.74,4.168618704032225
1.75,3.982425821172162
1.76,3.805893141596565
1.77,3.642284208858309
1.78,3.4948494748389516
1.79,3.3666871938515817
1.8,3.2605857196459134
1.81,3.1788612322219008
1.82,3.1232091882855006
1.83,3.094589116155691
1.84,3.0931596473918206
1.85,3.1182739272122193
1.86,3.1685361901722437
1.87,3.2419107252393204
1.8800000000000001,3.3358671644149025
1.8900000000000001,3.4475426263100406
1.9000000000000001,3.573901982681594
1.9100000000000001,3.7118814218603053
1.92,3.8585059604563865
1.93,4.010977049448509
1.94,4.166730866314835
1.95,4.323470825448304
1.96,4.479179312430319
1.97,4.6321139719051
1.98,4.7807934569586665
1.99,4.9239767423340295
2.0,5.060639180992508
2.0100000000000002,5.189947608579847
2.02,5.311236056192515
2.0300000000000002,5.423983045206056
2.04,5.527791002697601
2.05,5.622368030263251
2.06,5.70751205597438
2.07,5.783097273086215
2.08,5.8490626979441505
2.09,5.905402645921095
2.1,5.952158915072355
2.11,5.989414473055232
2.12,6.0172884571401175
2.13,6.035932315383793
2.14,6.045526936334734
2.15,6.0462806331541605
2.16,6.038427864645079
2.17,6.022228589734499
2.18,5.9979681630935175
2.19,5.965957687620852
2.2,5.926534744380538
2.21,5.880064422251287
2.22,5.826940568042973
2.23,5.7675871732476045
2.24,5.702459806075844
2.25,5.632046987271224
2.2600000000000002,5.556871395845505
2.27,5.477490777043145
2.2800000000000002,5.394498410533348
2.29,5.308522983439468
2.3000000000000003,5.220227702178663
2.31,5.130308471467368
2.32,5.039490970917482
2.33,4.948526472318954
2.34,4.858186266888605
2.35,4.769254613985354
2.36,4.682520182665961
2.37,4.598766035102902
2.38,4.5187582943201035
2.39,4.443233743347355
2.4,4.37288671137528
2.41,4.308355704865261
2.42,4.250210326107673
2.43,4.198939076286614
2.44,4.154938653973604
2.45,4.118505325826403
2.46,4.0898288619900205
2.47,4.0689893984407375
2.48,4.055957422768581
2.49,4.0505968943277635
2.5,4.052671322970757
2.5100000000000002,4.061852461559267
2.52,4.077731132271076
2.5300000000000002,4.099829616574706
2.54,4.127614998542032
2.5500000000000003,4.160512859491872
2.56,4.197920772016786
2.57,4.239221122809391
2.58,4.283792894291629
2.59,4.331022142995857
2.6,4.380311017733797
2.61,4.431085255105933
2.62,4.48280016893352
2.63,4.534945211448925
2.64,4.58704722743919
2.65,4.63867254944907
2.66,4.689428095028571
2.67,4.738961628707224
2.68,4.786961344780879
2.69,4.8331549147573325
2.7,4.877308127684242
2.71,4.919223234381043
2.72,4.958737089174972
2.73,4.99571916604903
2.74,5.030069510761546
2.75,5.061716676835171
2.7600000000000002,5.090615681478865
2.77,5.116746007503413
2.7800000000000002,5.140109669020713
2.79,5.160729352035441
2.8000000000000003,5.17864663576327
2.81,5.19392029646045
2.82,5.206624692541525
2.83,5.216848227629098
2.84,5.224691886767068
2.85,5.230267840205124
2.86,5.233698108808361
2.87,5.235113285163906
2.88,5.234651304758666
2.89,5.232456262118371
2.9,5.228677267464342
2.91,5.223467340209147
2.92,5.2169823364296946
2.93,5.209379908287821
2.94,5.200818494180903
2.95,5.1914563391706015
2.96,5.181450545932748
2.97,5.17095615707682
2.98,5.160125270187019
2.99,5.149106187327583
3.0,5.138042601029334
3.0100000000000002,5.127072818934163
3.02,5.116329029323245
3.0300000000000002,5.105936609703653
3.04,5.096013480491645
3.0500000000000003,5.086669505624655
3.06,5.078005941677896
3.0700000000000003,5.0701149367771485
3.08,5.063079080304911
3.09,5.056971004112704
3.1,5.051853035696878
3.11,5.047776903577027
3.12,5.044783494949452
3.13,5.042902665573864
3.14,5.042153101789994
