Theta(deg) Phi(deg) RCS(dBsm)
173.0 0.0 -28.36414277185405
174.0 0.0 -28.348237076995346
175.0 0.0 -28.334715990576452
176.0 0.0 -28.323574594901864
177.0 0.0 -28.314808916145186
178.0 0.0 -28.308415920703318
179.0 0.0 -28.304393512611043
180.0 0.0 -28.3027405320288
0.0 90.0 -28.634216808956285
1.0 90.0 -28.640074488408874
2.0 90.0 -28.648077907324524
3.0000000000000004 90.0 -28.658225592821793
4.0 90.0 -28.670514478933868
5.0 90.0 -28.68493990679123
6.000000000000001 90.0 -28.70149562398908
7.0 90.0 -28.72017378311712
8.0 90.0 -28.740964939427247
9.0 90.0 -28.763858047614725
10.0 90.0 -28.788840457688607
11.0 90.0 -28.8158979099044
12.000000000000002 90.0 -28.845014528734062
13.0 90.0 -28.876172815846566
14.0 90.0 -28.909353642072524
14.999999999999998 90.0 -28.944536238326922
16.0 90.0 -28.981698185463735
17.0 90.0 -29.020815403037705
18.0 90.0 -29.061862136949607
19.0 90.0 -29.104810945952604
20.0 90.0 -29.149632687000242
21.0 90.0 -29.19629649941919
22.0 90.0 -29.24476978789372
23.0 90.0 -29.295018204253658
24.000000000000004 90.0 -29.347005628062206
25.0 90.0 -29.400694146008558
26.0 90.0 -29.4560440301156
27.0 90.0 -29.513013714784613
28.0 90.0 -29.571559772708245
29.000000000000004 90.0 -29.63163688969553
29.999999999999996 90.0 -29.69319783846764
31.0 90.0 -29.756193451499083
32.0 90.0 -29.820572592997255
33.0 90.0 -29.886282130134155
34.0 90.0 -29.95326690366815
35.0 90.0 -30.021469698119148
36.0 90.0 -30.09083121168961
37.0 90.0 -30.161290026156532
38.0 90.0 -30.23278257699435
39.0 90.0 -30.305243124027733
40.0 90.0 -30.378603722955372
41.0 90.0 -30.452794198130984
42.0 90.0 -30.527742117037487
43.0 90.0 -30.603372766942087
44.0 90.0 -30.679609134276156
45.0 90.0 -30.756371887341473
46.0 90.0 -30.83357936300626
47.0 90.0 -30.911147558117452
48.00000000000001 90.0 -30.98899012641969
49.0 90.0 -31.06701838183717
50.0 90.0 -31.14514130903869
51.0 90.0 -31.22326558227012
52.0 90.0 -31.30129559349752
53.0 90.0 -31.37913349096019
54.0 90.0 -31.456679229281747
55.0 90.0 -31.53383063232689
56.0 90.0 -31.610483470021382
57.00000000000001 90.0 -31.686531550367846
58.00000000000001 90.0 -31.761866827889914
59.00000000000001 90.0 -31.836379529717025
59.99999999999999 90.0 -31.909958300481378
61.0 90.0 -31.982490367131113
62.0 90.0 -32.05386172467114
63.0 90.0 -32.123957343717066
64.0 90.0 -32.19266140059182
65.0 90.0 -32.259857530502735
66.0 90.0 -32.325429104110796
67.0 90.0 -32.38925952753909
68.0 90.0 -32.4512325655718
69.0 90.0 -32.51123268745988
70.0 90.0 -32.569145434388645
71.0 90.0 -32.624857807270914
72.0 90.0 -32.67825867311851
73.0 90.0 -32.72923918781862
74.0 90.0 -32.77769323271029
75.0 90.0 -32.82351786192816
76.0 90.0 -32.86661375706779
77.0 90.0 -32.90688568534031
78.0 90.0 -32.944242957035954
79.0 90.0 -32.97859987782029
80.0 90.0 -33.009876191153126
81.0 90.0 -33.03799750596242
82.0 90.0 -33.062895704631195
83.0 90.0 -33.08450932637546
84.0 90.0 -33.10278392120783
85.0 90.0 -33.11767236990262
86.0 90.0 -33.129135165696866
87.0 90.0 -33.137140653882646
88.0 90.0 -33.141665225954846
89.0 90.0 -33.14269346557054
90.0 90.0 -33.1402182442355
91.0 90.0 -33.13424076534557
92.0 90.0 -33.12477055595794
93.0 90.0 -33.111825406429936
94.0 90.0 -33.095431258822956
95.0 90.0 -33.07562204570485
96.00000000000001 90.0 -33.05243948167889
97.0 90.0 -33.025932810603045
98.0 90.0 -32.99615851202564
99.0 90.0 -32.96317997084108
100.0 90.0 -32.92706711455124
101.0 90.0 -32.8878960228026
102.0 90.0 -32.8457485140496
103.0 90.0 -32.80071171427646
104.0 90.0 -32.75287761269253
105.00000000000001 90.0 -32.70234260921163
106.0 90.0 -32.64920705833775
107.0 90.0 -32.593574813823096
108.0 90.0 -32.53555277814614
109.0 90.0 -32.47525046049717
110.0 90.0 -32.41277954655907
111.0 90.0 -32.34825348295388
112.0 90.0 -32.28178707879505
113.0 90.0 -32.213496126356596
114.00000000000001 90.0 -32.1434970424493
115.0 90.0 -32.07190653169079
116.00000000000001 90.0 -31.998841272477634
117.0 90.0 -31.924417626114124
118.00000000000001 90.0 -31.848751369236524
119.0 90.0 -31.771957449384303
119.99999999999999 90.0 -31.694149763323157
121.0 90.0 -31.61544095751106
122.0 90.0 -31.535942249920975
123.00000000000001 90.0 -31.4557632722903
124.0 90.0 -31.375011931754493
125.00000000000001 90.0 -31.293794290739484
126.0 90.0 -31.212214463931332
127.00000000000001 90.0 -31.130374531108174
128.0 90.0 -31.048374464608443
129.0 90.0 -30.966312070214506
