Theta(deg),RCS(dBsm)
111.1538122553797,5.22074993527735
111.72677005051052,5.327772035874732
112.29972784564136,5.434683964247341
112.87268564077218,5.540339041881124
113.445643435903,5.643721989132601
114.01860123103383,5.743946095624009
114.59155902616465,5.840247481283861
115.16451682129548,5.931977471073885
115.7374746164263,6.018593905739369
116.31043241155713,6.099652020241607
116.88339020668793,6.174795353287753
117.45634800181875,6.243747010748332
118.02930579694959,6.306301493205537
118.6022635920804,6.362317211107231
119.17522138721124,6.4117097463924635
119.74817918234204,6.454445872982962
120.32113697747289,6.490538316343581
120.8940947726037,6.52004121098
121.46705256773453,6.543046201395818
122.04001036286535,6.5596791243622
122.61296815799618,6.570097206558476
123.18592595312698,6.574486710358797
123.75888374825783,6.573060960767119
124.33184154338863,6.566058687534296
124.90479933851947,6.553742617852981
125.47775713365029,6.5363982564313
126.05071492878112,6.514332791055731
126.62367272391194,6.487874062950036
127.19663051904277,6.457369542401013
127.76958831417357,6.423185251419136
128.3425461093044,6.38570457686934
128.91550390443524,6.345326919834707
129.48846169956607,6.302466130297909
130.06141949469688,6.25754868089404
130.6343772898277,6.211011539853889
131.20733508495852,6.163299711625432
131.78029288008935,6.114863424269883
132.35325067522018,6.0661549556855885
132.92620847035099,6.017625105962157
133.49916626548182,5.969719340442978
134.07212406061262,5.922873646863582
134.64508185574346,5.877510169468422
135.2180396508743,5.83403270226988
135.79099744600512,5.792822141376572
136.36395524113593,5.754232011229201
136.93691303626676,5.718584190270493
137.50987083139756,5.686164966789294
138.0828286265284,5.6572215544367745
138.65578642165923,5.631959188643409
139.22874421679006,5.610538909823867
139.80170201192087,5.593076117384403
140.3746598070517,5.579639951268528
140.9476176021825,5.570253526727993
141.52057539731334,5.564895015186034
142.09353319244417,5.56349953164675
142.666490987575,5.56596175922931
143.2394487827058,5.5721392159479315
143.81240657783664,5.581856049268488
144.38536437296744,5.594907231151039
144.95832216809828,5.611063020543648
145.5312799632291,5.630073561360898
146.10423775835994,5.651673491112607
146.67719555349075,5.675586447430865
147.25015334862155,5.701529375455737
147.82311114375239,5.729216556991164
148.39606893888322,5.758363301205453
148.96902673401405,5.788689255260683
149.54198452914486,5.819921310670194
150.1149423242757,5.851796096717137
150.6879001194065,5.8840620654852
151.26085791453733,5.916481183753998
151.83381570966816,5.948830255183163
152.406773504799,5.980901901991185
152.9797312999298,6.012505238967119
153.55268909506063,6.043466274436887
154.12564689019143,6.0736280730713075
154.6986046853223,6.102850714495421
155.2715624804531,6.1310110798461555
155.84452027558393,6.15800249600121
156.41747807071474,6.18373426439908
156.99043586584557,6.208131098381376
157.56339366097637,6.231132489964639
158.13635145610723,6.2526920240044594
158.70930925123804,6.272776654930883
159.28226704636887,6.2913659586668915
159.85522484149968,6.308451370021634
160.4281826366305,6.324035413794152
161.00114043176134,6.338130936032186
161.57409822689215,6.350760340357139
162.14705602202298,6.361954832977416
162.72001381715378,6.371753678948519
163.29297161228462,6.380203471380373
163.86592940741545,6.387357414618984
164.43888720254628,6.393274621918903
165.0118449976771,6.398019427754585
165.58480279280792,6.401660714674451
166.15776058793872,6.404271254461272
166.73071838306956,6.405927063310655
167.3036761782004,6.406706770761633
167.87663397333122,6.406691002192978
168.44959176846203,6.405961774826942
